dataset,newspaper_title,issue_id,issue_date,page_number,article_id,article_title,article_text_1st50words,matched_terms,url
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19460320-1,20 March 1946,2/3,maltribune19460320-1.2.19,CHINA'S MAGNA CARTA,"CHINA'S MAGNA CARTA By Doon Campbell, Reuter's Correspondent Chungking—A charter of freedom for the national reconstruction of China has been drawn up by an All Party Conference, comprising representatives of the Communist, the Democratic League and Youth Party as well as those of President Chiang Kaishek's government. After centuries of",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19460320-1.2.19
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19480221-1,21 February 1948,5,maltribune19480221-1.2.52,POLITICAL EVOLUTION OF MALAYA HAS BEGUN,"POLITICAL EVOLUTION OF MALAYA HAS BEGUN MALACCA. FEB 19. The new China Democratic League «f Malacca held an extraordinary meeting at which the new i&gt;olitical status of Malaya was discussed. The Chairman of the meet- i -ng, Mr. Chin Koon Yeow. at the conclusion of the deliberations, declared: ""With the",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19480221-1.2.52
Morning Tribune 1946-1949,Morning Tribune,morningtribune19480721-1,21 July 1948,16,morningtribune19480721-1.2.142,REDS IN BURMA PREPA TO INVADE CHINA,"REDS IN BURMA PREPA TO INVADE CHINA Nanking. July 20. Chinese reports here today quoted a Kunming Garrison communique J as saying that the Burma chap- ter of the Democratic League l is now organising an armed force m Registan, bordering the south-weptern province of Yunnan. Democratic League members m",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/morningtribune19480721-1.2.142
Sunday Tribune 1945-1950,Sunday Tribune (Singapore),sundaytribune19451021-1,21 October 1945,1,sundaytribune19451021-1.2.2,Coalition Government For China Urged,"Coalition Government For China Urged Democratic League Issue Manifesto i NGAPORE Radio reported last night that the [new Democratic League i China has issued a hnijesto urging the est s.s scon as pes oi a coalition govern ment in China. The inifesto was issued alter a League C, n ven",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/sundaytribune19451021-1.2.2
Indian Daily Mail 1946-1947,Indian Daily Mail,indiandailymail19461021-1,21 October 1946,4,indiandailymail19461021-1.2.49,Local Chinese Launch 'Quit China Week' Today,"Local Chinese Launch 'Quit China Week' Today In response to the movement in Shanghai, Chungking and some American cities, the Singapore Chinese Federation for Peace and Democracy in China, an organisation sponsored and formed by the China Democratic League, the Chinese Committee of the Federation of the Trade Unions, the",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/indiandailymail19461021-1.2.49
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19460522-1,22 May 1946,2,maltribune19460522-1.2.24,China Democrat In Penang,"China Democrat In Penang (Tribune Correspondent) PENANG. May 20.—With a view to organising a branch here, Mr. Aw Siew Ec, representative of the China Democratic League of South China, has arrrived here. Having left China early in April for Singapore where he made good progress, the object of his Malayan",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19460522-1.2.24
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19451022-1,22 October 1945,4/1,maltribune19451022-1.2.3,MR. TAN KAH KEE ACCLAIMED LEADER AT MASS RALLY,"MR. TAN KAH KEE ACCLAIMED LEADER AT MASS RALLY TJNANIMOUS requests were made by representatives of the Kuomintang, Communist, and China Democratic League Parties in Singapore that Mr. Tan Kah Kee continue to be the leader of the oversea: Chinese in Malaya at a mass rally of over 10,000 Chinese",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19451022-1.2.3
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19480623-1,23 June 1948,3,maltribune19480623-1.2.40,NO INTERFERENCE IN LOCAL POLITICS,"NO INTERFERENCE IN LOCAL POLITICS AN RRAMPH n^ M^ N Ji? SUED YESTERDAY THE MALAYDEMOCRATIC LEAGUE EMS£a*S V* ll AND WOULD NEVER INTERFERE IN THE INTERNAL POLITICS OF MALAYA. It stated that its only task was to rally overseas Chinese to support the democratic movement in China, but because of",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19480623-1.2.40
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19461024-1,24 October 1946,1,maltribune19461024-1.2.9,"20,000 Sign ""Quit China"" Petition","20,000 Sign ""Quit China"" Petition Over 20.000 signatures have been obtained in a 'Quit China"" letter to President Truman, to be sent by t!,t Singapore Chinese Federation for Peace and Democracy in China, .in organization recently formed by the China Democratic League, the Hokien Association, the Chinese Committee of the",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19461024-1.2.9
Indian Daily Mail 1949-1953,Indian Daily Mail,indiandailymail19490524-1,24-May-49,3,indiandailymail19490524-1.2.42,Malayan Administration Carrying'On Anti-Chinese Policy?,"Malayan Administration Carrying'On Anti-Chinese Policy? peiping Radio Accusation ping oi China Democratic league Also criticised Hay 'l lu Chinese Commup] opa tunaa guns agauuu int an%were accused of ""carrying olicy."" i: a series oi protest ayamsl the mapathy, Â«&gt;"""""" as an \hna!/&lt;i- i' charged Uanapatny I e d by ttritisn",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/indiandailymail19490524-1.2.42
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19460425-1,25 April 1946,4,maltribune19460425-1.2.45,Mr. A. N. Mitra,"Mr. A. N. Mitra At a meeting of the New Democratic League of Indians on April 21, at the Singapore Municipal and Government Employees Labour Union, Race Course Lane Mr. A. N.- M tra, was elected President in place of Mr. C. D. Nair who is leaving for India.",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19460425-1.2.45
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19460625-1,25 June 1946,5,maltribune19460625-1.2.83,Peace Delegates Beaten Up,"Peace Delegates Beaten Up NANKING. June 24.—A howling mob assaulted and beat the ""peace delegates"" at Nanking's railroad station, resulting in slight injuries to the members of the delegation. Hie delegation, one democratic League member, and three Chinese reporters were taken to hospital. The gendarmes made no arrests. Chinese communists",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19460625-1.2.83
Morning Tribune 1946-1949,Morning Tribune,morningtribune19460625-1,25 June 1946,1,morningtribune19460625-1.2.3,Peace  Delegates  Beaten Up,"Peace Delegates Beaten Up NANKING. June 24.— A howling mob assaulted and beat the ""peace delegates"" at Nanking's railroad station, resulting m sligU lr. Juries to the members of the delegation. The delegation, one democratic League member, and three Chinese reporters were taken to hospital. The gendarmes made no arrests.",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/morningtribune19460625-1.2.3
