_priority,_year,典藏號,題名,全宗名稱,全宗系列,本件日期,密等/解密紀錄,提供方式/地點,_matched_queries,_reason,_collection,_identifier
C,,129-110000-0719,蕭敏頌,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十一 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000050719A,129-110000-0719
C,,129-110000-0772,黃聲,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十一 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000050772A,129-110000-0772
C,,129-110000-2448,蕭華清,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十一 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000052448A,129-110000-2448
C,,129-110000-2725,車向忱,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十一 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000052725A,129-110000-2725
C,1909,129-110000-3667,何序東,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十一 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,時段錯位（1909），早於民盟前身成立,129000053667A,129-110000-3667
C,,129-120000-2395,千家駒,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十二 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 民盟,無民盟直接命中，剔除,129000057395A,129-120000-2395
C,,129-120000-2565,徐壽軒,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十二 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000057565A,129-120000-2565
C,,129-120000-3907,辛志超,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十二 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 民盟,無民盟直接命中，剔除,129000058907A,129-120000-3907
C,,129-130000-1859,邵宗漢,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十三 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000061859A,129-130000-1859
C,,129-130000-1890,張曼筠,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十三 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000061890A,129-130000-1890
C,,129-130000-1954,羅子為,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十三 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 民盟,無民盟直接命中，剔除,129000061954A,129-130000-1954
C,,129-130000-2018,李建生,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十三 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000062018A,129-130000-2018
C,,129-130000-2066,成柏仁,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十三 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000062066A,129-130000-2066
C,,129-130000-4714,劉良模,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十三 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000064714A,129-130000-4714
C,1903,129-140000-0333,姜震中,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十四 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 民盟,時段錯位（1903），早於民盟前身成立,129000065333A,129-140000-0333
C,,129-140000-0517,林兆倧,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十四 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000065517A,129-140000-0517
C,,129-150000-0853,羅忠信,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十五 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000070853A,129-150000-0853
