identifier,title,date,year,matched_keywords,kind,ia_detail_url
cia-readingroom-document-cia-rdp79r01012a001300050019-1,CIA Reading Room cia-rdp79r01012a001300050019-1: COMMENTS ON ONE DRAFT PAPER NIE-45 ON YUGOSLAVIA:,1953-01-15,1953,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp79r01012a001300050019-1
cia-readingroom-document-cia-rdp79r01012a002500020001-3,CIA Reading Room cia-rdp79r01012a002500020001-3: PROBABLE DEVELOPMENTS IN BURMA THROUGH 1953,1953-02-20,1953,"""third force"" China; Coalition Government China 1946",concept,https://archive.org/details/cia-readingroom-document-cia-rdp79r01012a002500020001-3
cia-readingroom-document-cia-rdp79r01012a002500050001-0,CIA Reading Room cia-rdp79r01012a002500050001-0: PROBABLE DEVELOPMENTS IN INDONESIA,1953-06-11,1953,"""minor parties"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp79r01012a002500050001-0
cia-readingroom-document-cia-rdp80s01540r003000070003-4,CIA Reading Room cia-rdp80s01540r003000070003-4: TRANSLATIONS OF NORTH KOREAN NEWSPAPERS,1953-10-06,1953,"""Democratic Parties"" Peiping",concept,https://archive.org/details/cia-readingroom-document-cia-rdp80s01540r003000070003-4
cia-readingroom-document-cia-rdp80-00809a000500800253-0,CIA Reading Room cia-rdp80-00809a000500800253-0: BASIC DIFFERENCE BETWEEN DJILAS AND TITO,1954-03-03,1954,"""Democratic Parties"" Peiping",concept,https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000500800253-0
cia-readingroom-document-cia-rdp62-00865r000200280002-0,CIA Reading Room cia-rdp62-00865r000200280002-0: INTERNATIONAL COMMUNIST TRAINING AND EXPERIENCE OF VIET MINH LEADERS,1954-03-19,1954,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp62-00865r000200280002-0
cia-readingroom-document-cia-rdp80-00809a000700180094-7,"CIA Reading Room cia-rdp80-00809a000700180094-7: CHINESE COAL RESERVES AND PRODUCTION,1953",1954-05-03,1954,"""Political Consultative"" 1946",concept,https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000700180094-7
cia-readingroom-document-03006394,CIA Reading Room 03006394: CURRENT INTELLIGENCE BULLETIN - 1954/05/25,1954-05-25,1954,"""Democratic Parties"" Peiping",concept,https://archive.org/details/cia-readingroom-document-03006394
cia-readingroom-document-cia-rdp80r01443r000200330013-1,CIA Reading Room cia-rdp80r01443r000200330013-1: FRENCH ASSEMBLY AND GOVERNMENT PROSPECTS,1954-06-09,1954,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp80r01443r000200330013-1
cia-readingroom-document-02026949,CIA Reading Room 02026949: CURRENT INTELLIGENCE BULLETIN - 1954/07/22,1954-07-22,1954,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-02026949
cia-readingroom-document-cia-rdp79r01012a004300030001-2,CIA Reading Room cia-rdp79r01012a004300030001-2: PROBABLE DEVELOPMENTS IN JAPAN THROUGH 1957,1954-08-10,1954,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp79r01012a004300030001-2
cia-readingroom-document-cia-rdp79t00935a000300050004-3,CIA Reading Room cia-rdp79t00935a000300050004-3: SURVEY OF SOVIET FOREIGN TRADE ACTIVITIES SINCE 1952,1954-09-29,1954,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp79t00935a000300050004-3
cia-readingroom-document-03000834,CIA Reading Room 03000834: CURRENT INTELLIGENCE BULLETIN - 1954/10/09,1954-10-09,1954,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-03000834
cia-readingroom-document-cia-rdp74-00297r000601240024-6,CIA Reading Room cia-rdp74-00297r000601240024-6: THE MYSTERIOUS DOINGS OF CIA,1954-11-06,1954,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp74-00297r000601240024-6
cia-readingroom-document-cia-rdp74-00297r000601240025-5,CIA Reading Room cia-rdp74-00297r000601240025-5: THE MYSTERIOUS DOINGS OF CIA,1954-11-06,1954,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp74-00297r000601240025-5
cia-readingroom-document-cia-rdp60-00321r000100090002-0,"CIA Reading Room cia-rdp60-00321r000100090002-0: ""THE MYSTERIOUS DOINGS OF CIA"": BY RICHARD AND GLADYS HARKNESS; IN THE SATURDAY EVENING POST, 6 NOVEMBER 1954; PP. 66 AND 68.",1954-11-06,1954,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp60-00321r000100090002-0
cia-readingroom-document-03019012,CIA Reading Room 03019012: CURRENT INTELLIGENCE BULLETIN - 1954/11/30,1954-11-30,1954,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-03019012
cia-readingroom-document-cia-rdp80r01443r000300170010-1,CIA Reading Room cia-rdp80r01443r000300170010-1: SOVIET-YUGOSLAV RELATIONS,1954-12-08,1954,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp80r01443r000300170010-1
cia-readingroom-document-cia-rdp80r01443r000300170003-9,CIA Reading Room cia-rdp80r01443r000300170003-9: JAPAN'S NEW PREMIER,1954-12-09,1954,"""minor parties"" China; Coalition Government China 1946",concept,https://archive.org/details/cia-readingroom-document-cia-rdp80r01443r000300170003-9
