doc_key,grade,score,needs_review,reason
frus1949v08/d494,相关文献,49,0,组织词出现 1 次；涉及组织定位、新政协；文本信息量较高
frus1949v08/d505,核心文献,80,0,组织词出现 2 次；命中民盟关键人物；涉及组织定位、政治纲领、压制/解散、新政协；文本信息量较高
frus1949v08/d586,人物关联,20,0,由民盟重要人物异写触发，作为人物线索纳入资料库
frus1949v08/d608,核心文献,76,0,组织词出现 2 次；命中民盟关键人物；涉及组织定位、政协/谈判、新政协；文本信息量较高
frus1949v08/d609,人物关联,20,0,由民盟重要人物异写触发，作为人物线索纳入资料库
frus1949v08/d610,人物关联,20,0,由民盟重要人物异写触发，作为人物线索纳入资料库
frus1949v08/d612,核心文献,80,0,组织词出现 2 次；命中民盟关键人物；涉及组织定位、政治纲领、政协/谈判、新政协；文本信息量较高
frus1949v08/d615,核心文献,59,0,组织词出现 1 次；命中民盟关键人物；涉及政协/谈判、新政协；文本信息量较高
frus1949v08/d619,人物关联,20,0,由民盟重要人物异写触发，作为人物线索纳入资料库
frus1949v08/d621,人物关联,20,0,由民盟重要人物异写触发，作为人物线索纳入资料库
frus1949v08/d698,相关文献,49,0,组织词出现 1 次；涉及组织定位、新政协；文本信息量较高
frus1949v08/d728,相关文献,37,0,组织词出现 1 次；涉及组织定位；文本信息量较高
frus1949v08/d907,核心文献,61,0,组织词出现 1 次；涉及组织定位、政协/谈判、新政协；文本信息量较高
frus1949v08/d909,相关文献,47,0,组织词出现 1 次；命中民盟关键人物；涉及组织定位；文本信息量较高
frus1949v08/d937,核心文献,64,0,组织词出现 2 次；命中民盟关键人物；涉及组织定位、新政协；文本信息量较高
frus1949v08/d962,人物关联,20,0,由民盟重要人物异写触发，作为人物线索纳入资料库
frus1949v08/d1151,相关文献,49,0,组织词出现 1 次；涉及组织定位、政治纲领；文本信息量较高
frus1949v08/d1217,核心文献,71,0,组织词出现 1 次；命中民盟关键人物；涉及组织定位、政治纲领、新政协；文本信息量较高
frus1949v08/d1228,人物关联,20,0,由民盟重要人物异写触发，作为人物线索纳入资料库
frus1949v08/d1521,核心文献,64,0,组织词出现 2 次；命中民盟关键人物；涉及组织定位、新政协；文本信息量较高
frus1949v08/d1586,相关文献,37,0,组织词出现 1 次；涉及政治纲领；文本信息量较高
frus1949v08/d1590,相关文献,49,0,组织词出现 1 次；涉及组织定位、新政协；文本信息量较高
frus1949v08/d1601,核心文献,61,0,组织词出现 1 次；涉及组织定位、政治纲领、新政协；文本信息量较高
frus1949v08/d1628,相关文献,49,0,组织词出现 1 次；涉及组织定位、新政协；文本信息量较高
frus1949v09/d5,相关文献,49,0,组织词出现 1 次；涉及政协/谈判、压制/解散；文本信息量较高
frus1949v09/d125,核心文献,59,0,组织词出现 1 次；命中民盟关键人物；涉及组织定位、新政协；文本信息量较高
frus1949v09/d134,人物关联,20,0,由民盟重要人物异写触发，作为人物线索纳入资料库
frus1949v09/d363,背景材料,25,0,组织词弱命中或上下文较少，作为背景线索保留
frus1949v09/d421,核心文献,71,0,组织词出现 1 次；命中民盟关键人物；涉及组织定位、政治纲领、新政协；文本信息量较高
frus1949v09/d1463,核心文献,70,0,组织词出现 2 次；涉及组织定位、政治纲领、政协/谈判、新政协；文本信息量较高
frus1950v06/d115,核心文献,61,0,组织词出现 1 次；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1950v06/d129,核心文献,61,0,组织词出现 1 次；涉及组织定位、政治纲领、新政协；文本信息量较高
frus1950v06/d185,背景材料,17,0,组织词弱命中或上下文较少，作为背景线索保留
